year,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2017,Centenario,PM10,23.2187,21.625,60.7917,7.8182,8.6778,304
2017,Córdoba,CO,0.7753,0.7362,2.7635,0.125,0.3114,349
2017,Córdoba,NO2,21.7899,21.875,42.7,7.3846,6.6193,353
2017,Córdoba,PM10,25.5495,23.8333,76.875,7.5417,9.3407,339
2017,La Boca,CO,0.567,0.5371,2.564,0.2108,0.2373,336
2017,La Boca,NO2,21.6822,20.8542,49.1667,2.0417,7.8523,328
2017,La Boca,PM10,32.3807,30.4167,94.75,11.3333,12.9341,349
2018,Centenario,CO,0.5931,0.4638,11.3188,0.0765,1.0695,359
2018,Centenario,NO2,16.7209,16.6667,32.0,5.5833,4.5942,345
2018,Centenario,PM10,21.6892,20.3542,46.3333,7.9167,7.071,354
2018,Córdoba,CO,0.6656,0.4825,18.6596,0.165,1.5533,345
2018,Córdoba,NO2,17.6201,16.7708,61.0,4.25,7.9095,302
2018,Córdoba,PM10,25.1368,24.5833,48.5,9.2083,7.3463,335
2018,La Boca,CO,0.6892,0.4567,17.355,0.135,1.7265,333
2018,La Boca,NO2,21.0566,20.1667,52.6667,4.0417,6.573,343
2018,La Boca,PM10,31.2798,28.6667,88.0833,9.8333,13.0322,352
2019,Centenario,CO,0.5231,0.5042,1.2612,0.1167,0.1741,365
2019,Centenario,NO2,18.485,18.1667,50.0833,5.0417,5.8854,328
2019,Centenario,PM10,21.3171,20.1667,50.125,6.3333,6.7721,355
2019,Córdoba,CO,0.6732,0.6487,1.3633,0.2106,0.1903,362
2019,Córdoba,NO2,22.1347,21.8542,39.375,6.9583,5.9705,362
2019,Córdoba,PM10,26.8693,25.4375,61.2917,10.5833,8.2902,338
2019,La Boca,CO,0.5337,0.4988,1.7279,0.0,0.2391,339
2019,La Boca,NO2,21.5716,20.7292,41.75,4.5417,6.8874,324
2019,La Boca,PM10,29.9766,28.6875,71.1667,8.5385,9.7654,290
2020,Centenario,CO,0.4457,0.4258,1.6958,0.1317,0.1554,366
2020,Centenario,NO2,15.5981,15.1458,35.3182,2.35,5.6874,366
2020,Centenario,PM10,19.9727,18.7084,58.9167,5.875,7.7129,366
2020,Córdoba,CO,0.6257,0.5967,1.5492,0.2037,0.1821,271
2020,Córdoba,NO2,23.6684,22.75,62.75,2.3333,12.9501,339
2020,Córdoba,PM10,19.1269,17.5,65.0417,6.25,9.0213,320
