date,station,pollutant,actual_value,expected_value,difference,percentage_difference,z_score,method,severity,is_anomaly
2014-06-29,Centenario,CO,1.2483,0.4821,0.7662,158.9297,0.8879,IQR,Moderate,True
2014-06-29,Centenario,PM10,53.75,22.7848,30.9652,135.9034,2.1269,IQR,Moderate,True
2014-06-28,Centenario,CO,1.3979,0.4821,0.9158,189.9606,1.0784,IQR,Extreme,True
2014-06-28,Centenario,PM10,64.4583,22.7848,41.6735,182.9011,2.9326,IQR,Moderate,True
2014-06-28,La Boca,PM10,62.2632,25.0417,37.2215,148.6381,2.4004,IQR,Moderate,True
2014-06-28,Córdoba,CO,1.2346,0.5531,0.6815,123.2146,0.8903,IQR,Moderate,True
2014-06-28,Centenario,NO2,35.0833,17.4167,17.6666,101.4348,2.4433,IQR,Moderate,True
2014-06-27,Córdoba,CO,1.5725,0.5531,1.0194,184.3066,1.3732,IQR,Moderate,True
2014-06-27,Centenario,PM10,63.5333,22.7848,40.7485,178.8413,2.863,IQR,Moderate,True
2014-06-27,Centenario,CO,1.1375,0.4821,0.6554,135.9469,0.7468,IQR,Moderate,True
2014-06-24,La Boca,CO,17.8629,0.31,17.5529,5662.2258,22.7906,IQR + Isolation Forest,Extreme,True
2014-06-24,Córdoba,CO,22.6796,0.5531,22.1265,4000.452,31.5422,IQR + Isolation Forest,Extreme,True
2014-06-24,Centenario,CO,16.8989,0.4821,16.4168,3405.2686,20.8222,IQR + Isolation Forest,Extreme,True
2014-06-23,La Boca,CO,18.2042,0.31,17.8942,5772.3226,23.2357,IQR + Isolation Forest,Extreme,True
2014-06-23,Centenario,CO,21.9925,0.4821,21.5104,4461.8129,27.3099,IQR + Isolation Forest,Extreme,True
2014-06-23,Córdoba,CO,19.1617,0.5531,18.6086,3364.4187,26.5139,IQR + Isolation Forest,Extreme,True
2014-06-19,Centenario,CO,1.0262,0.4821,0.5441,112.8604,0.605,IQR,Moderate,True
2014-06-02,Centenario,CO,1.0521,0.4821,0.57,118.2327,0.638,IQR,Moderate,True
2014-05-27,Centenario,CO,1.6325,0.4821,1.1504,238.6227,1.3772,IQR,Extreme,True
2014-05-27,Córdoba,CO,1.2971,0.5531,0.744,134.5146,0.9796,IQR,Moderate,True
2014-05-27,Centenario,PM10,51.3333,22.7848,28.5486,125.2967,1.945,IQR,Moderate,True
2014-04-19,Centenario,CO,1.1008,0.4821,0.6187,128.3344,0.7,IQR,Moderate,True
2013-12-30,Centenario,PM10,48.0417,22.7848,25.257,110.8502,1.6973,IQR,Moderate,True
2013-12-27,Centenario,NO2,36.5,17.4167,19.0833,109.569,2.6481,IQR,Moderate,True
2013-12-05,Centenario,PM10,53.9583,22.7848,31.1736,136.8176,2.1425,IQR,Moderate,True
2013-12-04,Centenario,PM10,56.1667,22.7848,33.382,146.5101,2.3087,IQR,Moderate,True
2013-10-15,Centenario,NO2,44.3333,17.4167,26.9166,154.5448,3.7807,IQR,High,True
2013-10-15,Centenario,CO,1.0121,0.4821,0.53,109.9357,0.587,IQR,Moderate,True
2013-09-08,Centenario,CO,0.9954,0.4821,0.5133,106.4717,0.5658,IQR,Moderate,True
2013-09-01,Centenario,PM10,55.8333,22.7848,33.0486,145.0468,2.2836,IQR,Moderate,True
2013-08-30,Centenario,PM10,47.4583,22.7848,24.6736,108.2898,1.6534,IQR,Moderate,True
2013-08-29,Centenario,PM10,56.7083,22.7848,33.9236,148.8871,2.3494,IQR,Moderate,True
2013-08-22,Centenario,PM10,50.1667,22.7848,27.382,120.1767,1.8572,IQR,Moderate,True
2013-08-20,Centenario,CO,1.1944,0.4821,0.7123,147.7494,0.8192,IQR,Moderate,True
2013-08-06,Centenario,PM10,83.4167,22.7848,60.632,266.1076,4.3591,IQR,Extreme,True
2013-08-06,La Boca,PM10,74.875,25.0417,49.8333,199.0013,3.283,IQR,High,True
2013-07-29,Centenario,PM10,53.5,22.7848,30.7152,134.8062,2.108,IQR,Moderate,True
