year,month,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2010,11,Córdoba,CO,0.5115,0.472,0.9579,0.1763,0.2403,30
2010,11,La Boca,CO,0.1735,0.139,0.8296,0.0545,0.147,29
2010,11,La Boca,NO2,22.9521,23.0834,37.7917,10.9583,6.8735,30
2010,12,Centenario,NO2,25.5177,24.125,51.3571,12.2083,8.6937,30
2010,12,Córdoba,CO,0.5249,0.4088,1.3633,0.1333,0.3428,29
2010,12,La Boca,CO,0.2488,0.2027,0.8333,0.0633,0.179,30
2010,12,La Boca,NO2,25.6139,24.0417,43.0,9.8333,9.4659,30
2011,1,Centenario,CO,0.2158,0.2158,0.2467,0.185,0.0436,2
2011,1,Centenario,NO2,17.3434,16.4792,27.9583,5.8333,5.8003,16
2011,1,Centenario,PM10,30.4133,31.9167,44.8333,13.0,7.9437,23
2011,1,Córdoba,CO,0.2805,0.2663,0.529,0.065,0.1373,25
2011,1,Córdoba,NO2,24.2733,23.6692,34.5833,18.75,3.9045,20
2011,1,Córdoba,PM10,14.16,10.75,28.1667,1.3333,10.4388,5
2011,1,La Boca,CO,0.1737,0.135,0.5308,0.0608,0.1107,25
2011,1,La Boca,NO2,17.2379,16.875,26.4583,7.4583,6.1995,17
2011,1,La Boca,PM10,18.8714,16.8333,32.8333,1.3333,12.235,5
2011,2,Centenario,NO2,20.4839,17.5882,31.9167,11.7727,7.2989,7
2011,2,Centenario,PM10,13.8008,13.8008,13.9545,13.6471,0.2174,2
2011,2,Córdoba,CO,0.4936,0.4062,2.1886,0.1408,0.4068,28
2011,2,Córdoba,NO2,18.9847,18.5834,26.0417,12.2083,3.3148,28
2011,2,Córdoba,PM10,36.7175,36.125,50.3333,24.5417,8.9418,22
2011,2,La Boca,CO,0.1275,0.1021,0.5761,0.0512,0.1066,27
2011,2,La Boca,NO2,20.9809,19.625,41.75,11.2083,7.329,28
2011,2,La Boca,PM10,32.4764,31.8125,46.875,18.8333,6.7298,12
2011,3,Centenario,NO2,20.76,20.7817,37.8824,1.0,7.2701,30
2011,3,Córdoba,CO,0.5089,0.4564,1.635,0.1158,0.3112,31
2011,3,Córdoba,NO2,24.4098,22.5417,43.3333,13.5833,7.6125,31
2011,3,Córdoba,PM10,29.8676,26.5,52.7083,17.0,7.8663,31
2011,3,La Boca,CO,0.1899,0.1414,0.545,0.055,0.1345,31
2011,3,La Boca,NO2,25.3042,22.6957,46.2917,11.125,10.2906,31
2011,3,La Boca,PM10,30.8535,29.8333,51.5,18.625,7.4331,31
2011,4,Centenario,NO2,26.7755,27.75,42.65,16.3333,6.2814,23
2011,4,Centenario,PM10,31.5708,32.8333,49.6667,18.7917,7.747,19
2011,4,Córdoba,CO,0.6016,0.5369,1.5496,0.1418,0.3301,30
2011,4,Córdoba,NO2,38.8151,39.5,59.5833,24.3333,6.6597,30
2011,4,Córdoba,PM10,37.7216,36.9583,55.8333,18.0,9.9495,29
2011,4,La Boca,CO,0.3334,0.2902,1.164,0.0773,0.2282,30
2011,4,La Boca,NO2,33.2159,32.2083,53.75,19.4167,8.1456,30
2011,4,La Boca,PM10,30.1504,30.875,48.4167,14.8333,9.1219,29
2011,5,Centenario,NO2,27.1713,25.5833,53.75,12.9583,7.8786,31
2011,5,Centenario,PM10,35.6875,29.0208,86.1667,19.0417,18.1138,30
2011,5,Córdoba,CO,0.6287,0.4942,1.9117,0.12,0.4278,31
2011,5,Córdoba,NO2,36.1994,34.9167,56.4167,25.4583,5.844,31
2011,5,Córdoba,PM10,43.0019,32.7917,95.0833,22.6667,21.3815,21
2011,5,La Boca,CO,0.3919,0.2914,1.8142,0.0847,0.3784,31
2011,5,La Boca,NO2,29.6784,28.9583,52.7083,11.625,9.0577,31
2011,5,La Boca,PM10,32.7312,27.2917,77.9167,15.7083,17.6946,31
2011,6,Centenario,CO,0.9001,0.8436,1.2567,0.6417,0.2409,8
2011,6,Centenario,NO2,25.2239,25.4792,42.5833,13.9583,6.0079,28
2011,6,Centenario,PM10,58.5362,45.25,185.4583,21.5,42.3868,27
2011,6,Córdoba,CO,0.9009,0.9344,1.7379,0.1279,0.4597,28
2011,6,Córdoba,NO2,35.6919,35.1929,44.6957,24.9583,4.7649,28
2011,6,Córdoba,PM10,51.9637,39.0,173.4167,15.7778,36.9993,30
2011,6,La Boca,CO,0.4651,0.34,2.1725,0.0977,0.4212,30
2011,6,La Boca,NO2,28.4863,27.5525,57.9167,13.875,8.5845,30
2011,6,La Boca,PM10,46.9361,39.6667,151.4167,14.1667,33.2429,30
2011,7,Centenario,CO,0.914,0.8179,1.6121,0.525,0.2783,31
